type_chop	i	j	num_times_chop_observed	total_num_chops_of_this_type	chop_probability
N	0	0	766215	853474	0.89776
N	0	1	14023	853474	0.0164305
N	0	2	9009	853474	0.0105557
N	0	3	5804	853474	0.00680044
N	0	4	3790	853474	0.00444067
N	0	5	2528	853474	0.00296201
N	0	6	1728	853474	0.00202467
N	0	7	1127	853474	0.00132049
N	0	8	773	853474	0.00090571
N	0	9	518	853474	0.000606931
N	0	10	348	853474	0.000407745
N	0	11	263	853474	0.000308152
N	0	12	179	853474	0.000209731
N	0	13	122	853474	0.000142945
N	0	14	103	853474	0.000120683
N	0	15	71	853474	8.31894e-05
N	0	16	42	853474	4.92106e-05
N	0	17	38	853474	4.45239e-05
N	0	18	30	853474	3.51505e-05
N	0	19	14	853474	1.64035e-05
N	0	20	10	853474	1.17168e-05
N	0	21	15	853474	1.75752e-05
N	0	22	7	853474	8.20177e-06
N	0	23	5	853474	5.85841e-06
N	0	24	4	853474	4.68673e-06
N	0	25	2	853474	2.34336e-06
N	0	26	3	853474	3.51505e-06
N	0	31	1	853474	1.17168e-06
N	0	32	2	853474	2.34336e-06
N	0	38	1	853474	1.17168e-06
N	1	0	14044	853474	0.0164551
N	1	1	574	853474	0.000672545
N	1	2	369	853474	0.000432351
N	1	3	238	853474	0.00027886
N	1	4	171	853474	0.000200358
N	1	5	108	853474	0.000126542
N	1	6	58	853474	6.79575e-05
N	1	7	55	853474	6.44425e-05
N	1	8	33	853474	3.86655e-05
N	1	9	20	853474	2.34336e-05
N	1	10	11	853474	1.28885e-05
N	1	11	12	853474	1.40602e-05
N	1	12	9	853474	1.05451e-05
N	1	13	6	853474	7.03009e-06
N	1	14	1	853474	1.17168e-06
N	1	15	2	853474	2.34336e-06
N	1	16	2	853474	2.34336e-06
N	1	17	1	853474	1.17168e-06
N	1	19	2	853474	2.34336e-06
N	2	0	9065	853474	0.0106213
N	2	1	377	853474	0.000441724
N	2	2	213	853474	0.000249568
N	2	3	169	853474	0.000198014
N	2	4	88	853474	0.000103108
N	2	5	75	853474	8.78761e-05
N	2	6	48	853474	5.62407e-05
N	2	7	29	853474	3.39788e-05
N	2	8	14	853474	1.64035e-05
N	2	9	14	853474	1.64035e-05
N	2	10	17	853474	1.99186e-05
N	2	11	7	853474	8.20177e-06
N	2	12	3	853474	3.51505e-06
N	2	13	6	853474	7.03009e-06
N	2	14	4	853474	4.68673e-06
N	2	15	3	853474	3.51505e-06
N	2	18	1	853474	1.17168e-06
N	2	19	1	853474	1.17168e-06
N	2	21	1	853474	1.17168e-06
N	2	22	1	853474	1.17168e-06
N	3	0	5937	853474	0.00695628
N	3	1	226	853474	0.0002648
N	3	2	171	853474	0.000200358
N	3	3	112	853474	0.000131228
N	3	4	66	853474	7.7331e-05
N	3	5	50	853474	5.85841e-05
N	3	6	37	853474	4.33522e-05
N	3	7	23	853474	2.69487e-05
N	3	8	16	853474	1.87469e-05
N	3	9	7	853474	8.20177e-06
N	3	10	8	853474	9.37345e-06
N	3	11	2	853474	2.34336e-06
N	3	12	3	853474	3.51505e-06
N	3	13	1	853474	1.17168e-06
N	3	14	3	853474	3.51505e-06
N	3	15	2	853474	2.34336e-06
N	3	16	2	853474	2.34336e-06
N	3	17	1	853474	1.17168e-06
N	3	19	1	853474	1.17168e-06
N	4	0	3928	853474	0.00460237
N	4	1	157	853474	0.000183954
N	4	2	108	853474	0.000126542
N	4	3	56	853474	6.56142e-05
N	4	4	47	853474	5.5069e-05
N	4	5	31	853474	3.63221e-05
N	4	6	13	853474	1.52319e-05
N	4	7	23	853474	2.69487e-05
N	4	8	13	853474	1.52319e-05
N	4	9	7	853474	8.20177e-06
N	4	10	3	853474	3.51505e-06
N	4	11	4	853474	4.68673e-06
N	4	12	3	853474	3.51505e-06
N	4	13	1	853474	1.17168e-06
N	4	14	2	853474	2.34336e-06
N	4	20	1	853474	1.17168e-06
N	4	33	1	853474	1.17168e-06
N	5	0	2604	853474	0.00305106
N	5	1	110	853474	0.000128885
N	5	2	79	853474	9.25629e-05
N	5	3	48	853474	5.62407e-05
N	5	4	31	853474	3.63221e-05
N	5	5	25	853474	2.9292e-05
N	5	6	16	853474	1.87469e-05
