type_chop	i	j	num_times_chop_observed	total_num_chops_of_this_type	chop_probability
N	0	0	794101	924674	0.85879
N	0	1	57157	924674	0.0618131
N	0	2	3899	924674	0.00421662
N	0	3	290	924674	0.000313624
N	0	4	24	924674	2.59551e-05
N	1	0	57168	924674	0.061825
N	1	1	6048	924674	0.00654068
N	1	2	627	924674	0.000678077
N	1	3	46	924674	4.97473e-05
N	1	4	4	924674	4.32585e-06
N	1	5	1	924674	1.08146e-06
N	2	0	4283	924674	0.0046319
N	2	1	566	924674	0.000612108
N	2	2	59	924674	6.38063e-05
N	2	3	7	924674	7.57024e-06
N	3	0	307	924674	0.000332009
N	3	1	45	924674	4.86658e-05
N	3	2	3	924674	3.24439e-06
N	3	3	2	924674	2.16292e-06
N	4	0	26	924674	2.8118e-05
N	4	1	5	924674	5.40731e-06
N	4	2	2	924674	2.16292e-06
N	5	0	3	924674	3.24439e-06
N	5	1	1	924674	1.08146e-06
L	0	0	10452	12133	0.861452
L	0	1	672	12133	0.0553861
L	0	2	51	12133	0.00420341
L	0	3	6	12133	0.000494519
L	1	0	780	12133	0.0642875
L	1	1	87	12133	0.00717053
L	1	2	7	12133	0.000576939
L	1	3	1	12133	8.24198e-05
L	2	0	65	12133	0.00535729
L	2	1	6	12133	0.000494519
L	2	2	1	12133	8.24198e-05
L	3	0	3	12133	0.00024726
L	3	1	1	12133	8.24198e-05
L	3	2	1	12133	8.24198e-05
R	0	0	10447	12133	0.86104
R	0	1	816	12133	0.0672546
R	0	2	64	12133	0.00527487
R	0	3	7	12133	0.000576939
R	1	0	664	12133	0.0547268
R	1	1	69	12133	0.00568697
R	1	2	11	12133	0.000906618
R	2	0	39	12133	0.00321437
R	2	1	13	12133	0.00107146
R	3	0	3	12133	0.00024726
B	0	1	7	14	0.5
B	0	2	1	14	0.0714286
B	1	0	6	14	0.428571
